,country,score,topic,review,category,sentiment
229,India,1,Slowest app on app store,Stop updating it every week. Everything works well on my iPhone 7 plus except this app. Slowest app. Every now and then it keeps saying network error. The videos never load. I don't understand what's wrong with facebook. Please do something.,bug report,negative
230,South Africa,5,The best app ever!!,A great app with lots of wonderful ideas and inspiration,other,positive
231,United States,2,Battery killer,"Impossible to turn off! It uses the gps even when not using the app. 
With location services you have only two choices...always or never! What happened to "" when using app?""",bug report,negative
232,United States,1,Random badge notifications,"After latest update keep getting ""1"" badge icon notification but no messages or likes are present when I open the app.",bug report,neutral
233,Canada,5,The photo collage maker is helpful,The photo collage maker is helpful for me to use,requirement,neutral
234,Canada,1,Needs serious work,Please allow me to see every post in chronological order and reduce the amount of ads. It's ridiculous and off-putting.,requirement,negative
235,Australia,5,Excelent,Very good app,other,positive
236,South Africa,5,Really useful App!,"Highly recommended, really helps you get past bad traffic and find your way around. Definite worthwhile program!",requirement,positive
237,Singapore,3,Account,It says that I have too many accounts registered in my device.. but I only have two of them???,bug report,neutral
238,Canada,1,Notifications buried now?,"This update sucks, I get a notification, click the notifications, and it's buried half way down the page under ""New."" Are you high, zucc?",bug report,negative
239,Hong Kong,3,Bug,Cannot check the followers,bug report,neutral
240,India,4,Meh,Alright.,other,neutral
241,United States,3,Newsfeed,Not sure what happened but my newsfeed will not load!,bug report,neutral
242,United States,1,Saved to other boards feature,"We these updates I still don't like that I can't see the saved to other boards feature. That one really helped discover others boards and ideas easier. I used to like this app, no it's become something less than it's former self",bug report,negative
243,India,1,Why so much updates!!,App is changing every single day without updating.,bug report,neutral
244,South Africa,5,Pinterest,"I'm cool. 
Pinterests cool.
That's why I have Pinterest.",other,positive
245,Canada,4,Love it,"Posting is great, but it would be better if you can save drafts of when you have multiple images in one post.",requirement,positive
246,Singapore,1,battery drainer,This app drain my battery even I switch off background update,bug report,neutral
247,United States,1,They kicked me out,They kicked me out despite me showing them I'm 13 and I can't talk to a real person,noise,neutral
248,United States,3,Nice app,"Really enjoy the alerts. 
Will it ever work with Apple Watch?

I really enjoy Maps better. Alerts you with sufficient time to change Lanes unlike Waze. Also displays turn by turn on iWatch so you don't have to take your eyes off the road.",requirement,positive
249,Canada,5,Bug fixes,Small bug fixes please update. Love Instagram �,other,positive
250,Hong Kong,1,app,Iphone6plus.  。 。,noise,neutral
251,Hong Kong,2,Problems...,Too bugs.. I can't edit my post and log out the others ac🩀️ come and fix it plz🩀️,bug report,neutral
252,India,5,Goo,Good,other,positive
253,Canada,2,Glitch,"whenever I go onto my account it glitches and goes all black then kicks out onto my homescreen but won't do the same to any of my other accounts and I can't access my accounts unless I get a notification,I've tried emailing but it won't send because apparently your inbox is 'full' please fix this",bug report,neutral
254,Hong Kong,1,Stories,How come some sticker could not be use on iPhone 7 but appears on iphone7 plus in stories.,bug report,neutral
255,Singapore,4,Suggestions on improvement of Instagram,"Hi we should have an option to save a photograph which is posted on Instagram 
We Hv to snapshot it!
And also wen u look at pics in someone's profile u can't keep flipping it as u can on Fb 
U gotta come out n click again on d next pic! 
Hopefully u can rectify thx",requirement,neutral
256,United Kingdom,1,Terrible,"Few apps seem to get worse, giant updates for unknown reasons, unclear what changes are, no visible improvement for user experience, continues to separate messaging and the main app for no real reason (especially dumb if you also have Facebook-owned Whatsapp). Time to delete forever?",bug report,negative
257,United Kingdom,5,�,Instagram is the best app for social media and has a range of uses. EVERYONE GO USE IT NOWWWW!!! ,other,positive
258,Hong Kong,1,Can't post video!!!!!!!!!!,Can't post video!!!!!!!!!!!,bug report,negative
259,Hong Kong,1,,Cannot upload video,bug report,neutral
260,Canada,1,Videos won't play,"Can't play any video on my news feed, or otherwise. This app constantly breaks and I was considering giving up on Facebook altogether because of it, since you made it impossible to use Facebook on safari instead of these apps. However, I don't have the option to delete my account. I have forgotten my password on Facebook but remained logged in on the app. I don't have access to the email it tells me to get a code from and it doesn't give me any other option to deactivate or even change my password. I don't want my account up anymore, please fix the bugs instead of doing a new update every day to clear the bad reviews. Please let me delete my account.",bug report,negative
261,India,1,Bring the old algorithm back,The new algorithm is pathetic. Earlier the TL was time based. Now it's god knows what based. The reach of the post has been limited so that people are forced to promote their post. Facebook has started to ruin Instagram!!,bug report,negative
262,Australia,1,Too many updates,OMG! Too effing buggy! Stop bloating it with fortnightly updates,bug report,negative
263,Hong Kong,1,,wifi  100MB     100MB  wifi,noise,neutral
264,Hong Kong,1,Unexpected quit,"When I choose 10 photo to upload on Instagram which happen unexpected quit. No matter how many time I have been try it still not working. 

Please fix it.",bug report,neutral
265,United States,2,Needs iPad Pro 12.9 optimization,This is 18 months behind....,bug report,neutral
266,United Kingdom,5,Highly recommended,Excellent fitness watch and app,other,positive
267,India,5,Insta with the latest features is awesome!! Love it the most!!!,"Instagram with the updated features (story,live etc) is awesome!! Loving it more than Facebook!! ☺🙂🙂✌🏼",requirement,positive
268,Australia,5,Fitbit,Excellent app. Easy to use. Excellent links to support and workouts.,requirement,positive
